zip,count
75766,0
75770,0
75771,0
75773,0
75778,0
75783,0
75784,0
75785,0
75789,0
75790,0
75791,0
75792,0
75798,0
75799,0
75801,0
75803,0
75831,0
75833,0
75835,0
75838,0
75839,0
75840,0
75844,0
75845,0
75846,0
75847,0
75850,0
75851,0
75852,0
75853,0
75855,0
75856,0
75859,0
75860,0
75861,0
75862,0
75901,0
75904,0
75925,0
75926,0
75928,0
75929,0
75930,0
75931,0
75932,0
75933,0
75935,0
75936,0
75937,0
75938,0
75939,0
75941,0
75943,0
75944,0
75946,0
75948,0
75949,0
75951,0
75954,0
75956,0
75959,0
75960,0
75961,0
75962,0
75964,0
75965,0
75966,0
75968,0
75969,0
75972,0
75973,0
75974,0
75975,0
75976,0
75977,0
75979,0
75980,0
76001,0
76002,0
76005,0
76006,0
76008,0
76009,0
76010,0
76011,0
76012,0
76013,0
76014,0
76015,0
76016,0
76017,0
76018,0
76019,0
76020,0
76021,0
76022,0
76023,0
76028,0
76031,0
76033,0
76034,0
76035,0
76036,0
76039,0
76040,0
76041,0
76043,0
76044,0
76048,0
76049,0
76050,0
76051,0
76052,0
76053,0
76054,0
76055,0
76058,0
76059,0
76060,0
76061,0
76063,0
76064,0
76065,0
76066,0
76067,0
76070,0
76071,0
76073,0
76077,0
76078,0
76082,0
76084,0
76085,0
76086,0
76087,0
76088,0
76092,0
76093,0
76102,0
76103,0
76104,0
76105,0
76106,0
76107,0
76108,0
76109,0
76110,0
76111,0
76112,0
76114,0
76115,0
76116,0
76117,0
76118,0
76119,0
76120,0
76122,0
76123,0
76126,0
76127,0
76129,0
76131,0
76132,0
76133,0
76134,0
76135,0
76137,0
76140,0
76148,0
76155,0
76164,0
76177,0
76179,0
76180,0
76182,0
76201,0
76205,0
76207,0
76208,0
76209,0
76210,0
76225,0
76226,0
76227,0
76228,0
76230,0
76233,0
76234,0
76238,0
76239,0
76240,0
76244,0
76245,0
76247,0
76248,0
76249,0
76250,0
76251,0
76252,0
76255,0
76258,0
76259,0
76261,0
76262,0
76263,0
76264,0
76265,0
76266,0
76270,0
76271,0
76272,0
76273,0
76301,0
76302,0
76305,0
76306,0
76308,0
76309,0
76310,0
76311,0
76351,0
76354,0
76357,0
76360,0
76363,0
76364,0
76365,0
76366,0
76367,0
76371,0
76372,0
76373,0
76374,0
76377,0
76379,0
76380,0
76384,0
76388,0
76389,0
76401,0
76402,0
76424,0
76426,0
76427,0
76429,0
76430,0
76431,0
76432,0
76433,0
76435,0
76436,0
76437,0
76442,0
76443,0
76444,0
76445,0
76446,0
76448,0
76449,0
76450,0
76453,0
76454,0
76455,0
76457,0
76458,0
76459,0
76460,0
76462,0
76463,0
76464,0
76470,0
76471,0
76472,0
76474,0
76475,0
76476,0
76481,0
76483,0
76484,0
76486,0
76487,0
76490,0
76491,0
76501,0
76502,0
76504,0
76511,0
76513,0
76518,0
76519,0
76520,0
76522,0
76523,0
76524,0
76525,0
76526,0
76527,0
76528,0
76530,0
76531,0
76534,0
76537,0
76538,0
76539,0
76541,0
76542,0
76543,0
76544,0
76548,0
76549,0
76550,0
76554,0
76556,0
76557,0
76559,0
76561,0
76565,0
76566,0
76567,0
76569,0
76570,0
76571,0
76577,0
76578,0
76579,0
76621,0
76622,0
76624,0
76626,0
76627,0
76629,0
76630,0
76631,0
76632,0
76633,0
76634,0
76635,0
76636,0
76637,0
76638,0
76639,0
76640,0
76641,0
76642,0
76643,0
76645,0
76648,0
76649,0
76651,0
76652,0
76653,0
76655,0
76656,0
76657,0
76660,0
76661,0
76664,0
76665,0
76666,0
76667,0
76670,0
76671,0
76673,0
76676,0
76678,0
76679,0
76680,0
76681,0
76682,0
76687,0
76689,0
76690,0
76691,0
76692,0
76693,0
76701,0
76704,0
76705,0
76706,0
76707,0
76708,0
76710,0
76711,0
76712,0
76798,0
76801,0
76802,0
76820,0
76821,0
76823,0
76824,0
76825,0
76827,0
76828,0
76831,0
76832,0
76834,0
76836,0
76837,0
76841,0
76842,0
76844,0
76845,0
76848,0
76849,0
76852,0
76853,0
76854,0
76856,0
76857,0
76858,0
76859,0
76861,0
76862,0
76864,0
76865,0
76866,0
76869,0
76870,0
76871,0
76872,0
76873,0
76874,0
76875,0
76877,0
76878,0
76880,0
76882,0
76883,0
76884,0
76885,0
76887,0
76888,0
76890,0
76901,0
76903,0
76904,0
76905,0
76908,0
76909,0
76930,0
76932,0
76933,0
76934,0
76935,0
76936,0
76937,0
76940,0
76941,0
76943,0
76945,0
76949,0
76950,0
76951,0
76955,0
76957,0
77002,0
77003,0
77004,0
77005,0
77006,0
77007,0
77008,0
77009,0
77010,0
77011,0
77012,0
77013,0
77014,0
77015,0
77016,0
77017,0
77018,0
77019,0
77020,0
77021,0
77022,0
77023,0
77024,0
77025,0
77026,0
77027,0
77028,0
77029,0
77030,0
77031,0
77032,0
77033,0
77034,0
77035,0
77036,0
77037,0
77038,0
77039,0
77040,0
77041,0
77042,0
77043,0
77044,0
77045,0
77046,0
77047,0
77048,0
77049,0
77050,0
77051,0
77053,0
77054,0
77055,0
77056,0
77057,0
77058,0
77059,0
77060,0
77061,0
77062,0
77063,0
77064,0
77065,0
77066,0
77067,0
77068,0
77069,0
77070,0
77071,0
77072,0
77073,0
77074,0
77075,0
77076,0
77077,0
77078,0
77079,0
77080,0
77081,0
77082,0
77083,0
77084,0
77085,0
77086,0
77087,0
77088,0
77089,0
77090,0
77091,0
77092,0
77093,0
77094,0
77095,0
77096,0
77098,0
77099,0
77204,0
77301,0
77302,0
77303,0
77304,0
77306,0
77316,0
77318,0
77320,0
77327,0
77328,0
77331,0
77335,0
77336,0
77338,0
77339,0
77340,0
77345,0
77346,0
77351,0
77354,0
77355,0
77356,0
77357,0
77358,0
77359,0
77360,0
77362,0
77363,0
77364,0
77365,0
77371,0
77372,0
77373,0
77375,0
77377,0
77378,0
77379,0
77380,0
77381,0
77382,0
77384,0
77385,0
77386,0
77388,0
77389,0
77396,0
77399,0
77401,0
77406,0
77407,0
77414,0
77417,0
77418,0
77419,0
77420,0
77422,0
77423,0
77426,0
77429,0
77430,0
77433,0
77434,0
77435,0
77437,0
77440,0
77441,0
77442,0
77443,0
77444,0
77445,0
77447,0
77449,0
77450,0
77455,0
77456,0
77457,0
77458,0
77459,0
77461,0
77465,0
77468,0
77469,0
77471,0
77474,0
77477,0
77478,0
77479,0
77480,0
77482,0
77484,0
77485,0
77486,0
77488,0
77489,0
77493,0
77494,0
77498,0
77502,0
77503,0
77504,0
77505,0
77506,0
77507,0
77510,0
77511,0
77514,0
77515,0
77517,0
77518,0
77519,0
77520,0
77521,0
77523,0
77530,0
77531,0
77532,0
77534,0
77535,0
77536,0
77538,0
77539,0
77541,0
77545,0
77546,0
77547,0
77550,0
77551,0
77554,0
77560,0
77562,0
77563,0
77564,0
77565,0
77566,0
77568,0
77571,0
77573,0
77575,0
77577,0
77581,0
77583,0
77584,0
77585,0
77586,0
77587,0
77590,0
77591,0
77597,0
77598,0
77611,0
77612,0
77613,0
77614,0
77616,0
77619,0
77622,0
77624,0
77625,0
77627,0
77629,0
77630,0
77632,0
77640,0
77642,0
77650,0
77651,0
77655,0
77656,0
77657,0
77659,0
77660,0
77662,0
77664,0
77665,0
77701,0
77702,0
77703,0
77705,0
77706,0
77707,0
77708,0
77710,0
77713,0
77801,0
77802,0
77803,0
77807,0
77808,0
77830,0
77831,0
77833,0
77835,0
77836,0
77837,0
77840,0
77843,0
77845,0
77853,0
77856,0
77857,0
77859,0
77861,0
77863,0
77864,0
77865,0
77868,0
77871,0
77872,0
77873,0
77878,0
77879,0
77880,0
77901,0
77904,0
77905,0
77950,0
77951,0
77954,0
77957,0
77962,0
77963,0
77964,0
77967,0
77968,0
77969,0
77971,0
77975,0
77979,0
77982,0
77983,0
77984,0
77986,0
77990,0
77991,0
77994,0
77995,0
78002,0
78003,0
78004,0
78005,0
78006,0
78007,0
78008,0
78009,0
78010,0
78011,0
78012,0
78013,0
78014,0
78015,0
78016,0
78017,0
78019,0
78021,0
78022,0
78023,0
78024,0
78025,0
78026,0
78027,0
78028,0
78039,0
78040,0
78041,0
78043,0
78045,0
78046,0
78052,0
78055,0
78056,0
78057,0
78058,0
78059,0
78061,0
78063,0
78064,0
78065,0
78066,0
78067,0
78069,0
78070,0
78071,0
78072,0
78073,0
78075,0
78076,0
78101,0
78102,0
78108,0
78109,0
78111,0
78112,0
78113,0
78114,0
78116,0
78117,0
78118,0
78119,0
78121,0
78122,0
78123,0
78124,0
78130,0
78132,0
78133,0
78140,0
78141,0
78147,0
78148,0
78150,0
78151,0
78152,0
78154,0
78155,0
78159,0
78161,0
78163,0
78164,0
78201,0
78202,0
78203,0
78204,0
78205,0
78206,0
78207,0
78208,0
78209,0
78210,0
78211,0
78212,0
78214,0
78215,0
78216,0
78217,0
78218,0
78219,0
78220,0
78221,0
78222,0
78223,0
78224,0
78225,0
78226,0
78227,0
78228,0
78229,0
78230,0
78231,0
78232,0
78233,0
78234,0
78235,0
78236,0
78237,0
78238,0
78239,0
78240,0
78242,0
78243,0
78244,0
78245,0
78247,0
78248,0
78249,0
78250,0
78251,0
78252,0
78253,0
78254,0
78255,0
78256,0
78257,0
78258,0
78259,0
78260,0
78261,0
78263,0
78264,0
78266,0
78330,0
78332,0
78336,0
78338,0
78340,0
78341,0
78343,0
78344,0
78349,0
78355,0
78357,0
78358,0
78359,0
78360,0
78361,0
78362,0
78363,0
78368,0
78369,0
78370,0
78371,0
78372,0
78373,0
78374,0
78375,0
78376,0
78377,0
78379,0
78380,0
78382,0
78383,0
78384,0
78385,0
78387,0
78389,0
78390,0
78391,0
78393,0
78401,0
78402,0
78404,0
78405,0
78406,0
78407,0
78408,0
78409,0
78410,0
78411,0
78413,0
78414,0
78415,0
78416,0
78417,0
78418,0
78419,0
78501,0
78503,0
78504,0
78516,0
78520,0
78526,0
78535,0
78536,0
78537,0
78538,0
78539,0
78541,0
78542,0
78543,0
78547,0
78548,0
78549,0
78550,0
78552,0
78557,0
78559,0
78560,0
78562,0
78566,0
78569,0
78570,0
78572,0
78573,0
78575,0
78576,0
78577,0
78578,0
78579,0
78580,0
78582,0
78583,0
78584,0
78586,0
78588,0
78589,0
78590,0
78591,0
78593,0
78594,0
78595,0
78596,0
78597,0
78598,0
78599,0
78602,0
78605,0
78606,0
78607,0
78608,0
78609,0
78611,0
78614,0
78618,0
78623,0
78624,0
78626,0
78629,0
78631,0
78632,0
78633,0
78635,0
78638,0
78639,0
78643,0
78644,0
78648,0
78650,0
78655,0
78656,0
78657,0
78659,0
78662,0
78665,0
78666,0
78671,0
78672,0
78675,0
78676,0
78677,0
78712,0
78801,0
78827,0
78828,0
78829,0
78830,0
78832,0
78833,0
78834,0
78836,0
78837,0
78838,0
78839,0
78840,0
78843,0
78850,0
78851,0
78852,0
78861,0
78870,0
78872,0
78873,0
78877,0
78879,0
78880,0
78881,0
78883,0
78884,0
78885,0
78886,0
78931,0
78932,0
78933,0
78934,0
78935,0
78938,0
78940,0
78941,0
78942,0
78943,0
78944,0
78945,0
78946,0
78947,0
78948,0
78949,0
78950,0
78951,0
78953,0
78954,0
78956,0
78957,0
78959,0
78962,0
78963,0
79001,0
79005,0
79007,0
79009,0
79011,0
79014,0
79015,0
79016,0
79018,0
79019,0
79022,0
79027,0
79029,0
79031,0
79034,0
79035,0
79036,0
79039,0
79040,0
79041,0
79042,0
79043,0
79044,0
79045,0
79046,0
79052,0
79056,0
79057,0
79058,0
79059,0
79061,0
79062,0
79063,0
79064,0
79065,0
79068,0
79070,0
79072,0
79079,0
79080,0
79081,0
79082,0
79083,0
79084,0
79085,0
79086,0
79087,0
79088,0
79092,0
79094,0
79095,0
79096,0
79097,0
79098,0
79101,0
79102,0
79103,0
79104,0
79106,0
79107,0
79108,0
79109,0
79110,0
79111,0
79118,0
79119,0
79121,0
79124,0
79178,0
79201,0
79220,0
79223,0
79225,0
79226,0
79227,0
79229,0
79230,0
79234,0
79235,0
79237,0
79239,0
79240,0
79241,0
79243,0
79244,0
79245,0
79247,0
79248,0
79250,0
79251,0
79252,0
79255,0
79256,0
79257,0
79259,0
79261,0
79311,0
79312,0
79313,0
79316,0
79322,0
79323,0
79324,0
79325,0
79326,0
79329,0
79330,0
79331,0
79336,0
79339,0
79342,0
79343,0
79344,0
79345,0
79346,0
79347,0
79350,0
79351,0
79353,0
79355,0
79356,0
79357,0
79358,0
79359,0
79360,0
79363,0
79364,0
79366,0
79367,0
79370,0
79371,0
79372,0
79373,0
79376,0
79377,0
79379,0
79381,0
79382,0
79401,0
79403,0
79404,0
79406,0
79407,0
79409,0
79410,0
79411,0
79412,0
79413,0
79414,0
79415,0
79416,0
79423,0
79424,0
79501,0
79502,0
79503,0
79504,0
79505,0
79506,0
79508,0
79510,0
79511,0
79512,0
79517,0
79518,0
79519,0
79520,0
79521,0
79525,0
79526,0
79527,0
79528,0
79529,0
79530,0
79532,0
79533,0
79534,0
79535,0
79536,0
79537,0
79538,0
79539,0
79540,0
79541,0
79543,0
79544,0
79545,0
79546,0
79547,0
79548,0
79549,0
79553,0
79556,0
79560,0
79561,0
79562,0
79563,0
79565,0
79566,0
79567,0
79601,0
79602,0
79603,0
79605,0
79606,0
79607,0
79697,0
79698,0
79699,0
79701,0
79703,0
79705,0
79706,0
79707,0
79713,0
79714,0
79718,0
79719,0
79720,0
79730,0
79731,0
79734,0
79735,0
79738,0
79741,0
79742,0
79743,0
79744,0
79745,0
79748,0
79749,0
79752,0
79754,0
79755,0
79756,0
79758,0
79759,0
79761,0
79762,0
79763,0
79764,0
79765,0
79766,0
79772,0
79777,0
79778,0
79781,0
79782,0
79783,0
79789,0
79821,0
79830,0
79832,0
79834,0
79835,0
79836,0
79837,0
79838,0
79839,0
79842,0
79843,0
79845,0
79847,0
79848,0
79849,0
79851,0
79852,0
79853,0
79854,0
79855,0
79901,0
79902,0
79903,0
79904,0
79905,0
79906,0
79907,0
79908,0
79911,0
79912,0
79915,0
79916,0
79918,0
79922,0
79924,0
79925,0
79927,0
79928,0
79930,0
79932,0
79934,0
79935,0
79936,0
79938,0
79968,0
